,Capacity
0,0.6434735598158292
1,1.2931804619982779
2,1.2288940261191657
3,1.2039031789717949
4,2.330873478782131
5,1.0092808819126011
6,0.9565659895125322
7,0.901956291365404
8,0.8897906666138162
9,0.8830717036634559
10,0.8431270354481757
11,0.826559103449663
12,0.8352681546837963
13,0.8025719464987874
14,0.7839218784699513
15,0.7910763493036002
16,0
17,0.7654538269480236
18,0.773177347633947
19,0.7605293776416485
20,0.7376430319247004
21,0.739179500257907
22,0.7014575429842594
23,0.7047349480541781
24,0.677848893570423
