,CCCT,CVCT,V37_419,V38_419,V37_41,V38_41,Temperature,peak_v_arr1,peak_IC_arr1,peak_v_arr2,peak_IC_arr2,peak_v_arr3,peak_IC_arr3,Capacity
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21.1,8879.3,1586.8000000000002,1586.8000000000002,289.2,289.2,6.46540458971142,4.128054987362916,45.076396791558125,4.143350040570178,65.02952639199859,4.15848827736594,86.39990766131417,1.293180461998278
2,20.7,9401.5,1191.3000000000002,1191.3000000000002,217.6,217.6,6.362432676247997,4.133201137911293,48.31148945618596,4.150659374096579,61.56261043337537,4.164925337541841,54.35995850426509,1.2288940261191657
3,20.8,381.20000000000005,1057.4,1057.4,285.5,285.5,7.925076397059295,4.125153514761135,26.78781518563349,4.158181647070503,39.12195272505071,4.158181647070503,39.12195272505071,1.2039031789717949
4,104.8,9379.6,1140.4,1140.4,85.2,85.2,6.268500504120229,4.13881821563374,16.16673111329054,4.13881821563374,16.16673111329054,4.13881821563374,16.16673111329054,2.330873478782131
5,62.9,9693.5,857.4,857.4,67.5,67.5,6.14246367520438,4.1566066772435,56.80947241057637,4.166426107815946,40.297402246358054,4.166426107815946,40.297402246358054,1.0092808819126011
6,20.9,9711.5,889.6999999999999,889.6999999999999,162.3,162.3,6.201394407683267,4.152666639614105,50.42343215568746,4.152666639614105,50.42343215568746,4.152666639614105,50.42343215568746,0.9565659895125322
7,20.6,9788.6,797.6999999999999,797.6999999999999,106.5,106.5,6.09756221384153,4.162221071523159,53.78306106674027,4.169291575557664,59.133113834066414,4.169291575557664,59.133113834066414,0.901956291365404
8,20.6,9829.6,795.8,795.8,146.1,146.1,6.146102870343544,4.166401776694755,64.88433819606466,4.166401776694755,64.88433819606466,4.166401776694755,64.88433819606466,0.8897906666138162
9,90.5,9987.9,559.1999999999999,559.1999999999999,71.9,71.9,6.023280292237292,4.152739117671953,24.034293240048452,4.152739117671953,24.034293240048452,4.152739117671953,24.034293240048452,0.8830717036634559
10,20.6,9888.199999999999,766.9,766.9,285.59999999999997,285.59999999999997,6.293720054359482,4.164245685485109,28.32315306375227,4.164245685485109,28.32315306375227,4.164245685485109,28.32315306375227,0.8431270354481757
11,20.7,9960.9,658.8,658.8,98.60000000000001,98.60000000000001,6.092034489549569,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,0.826559103449663
12,20.8,9906.6,668.5,668.5,108.30000000000001,108.30000000000001,6.054682989709081,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,0.8352681546837963
13,21.2,9913.199999999999,726.5,726.5,281.7,281.7,6.277891589441775,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,0.8025719464987874
14,118.5,10144.3,445.4,445.4,55.9,55.9,5.981370148414617,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,0.7839218784699513
15,20.8,9951.8,714.1,714.1,308.2,308.2,6.291989291548551,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,0.7910763493036002
16,20.8,9951.8,714.1,714.1,308.2,308.2,6.291989291548551,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,4.164004040612427,42.947781637122944,0.7910763493036002
17,21.0,10073.199999999999,605.6,605.6,243.3,243.3,6.171564766178154,4.143954061416766,17.185575800073195,4.170717201725706,18.40055246503016,4.170717201725706,18.40055246503016,0.7654538269480236
18,21.5,10082.0,557.4,557.4,148.8,148.8,6.07903843446679,4.14894404123374,19.256248644123975,4.14894404123374,19.256248644123975,4.14894404123374,19.256248644123975,0.773177347633947
19,69.7,10143.5,469.0,469.0,75.9,75.9,5.9770779645399195,4.141661004642685,17.49501747325142,4.141771557435863,17.49481730044952,4.141771557435863,17.49481730044952,0.7605293776416485
20,21.2,10075.6,606.0,606.0,242.20000000000002,242.20000000000002,6.21251192265342,4.141661004642685,17.49501747325142,4.141771557435863,17.49481730044952,4.141771557435863,17.49481730044952,0.7376430319247004
21,20.6,10051.5,614.6,614.6,292.9,292.9,6.272061542598416,4.141661004642685,17.49501747325142,4.141771557435863,17.49481730044952,4.141771557435863,17.49481730044952,0.739179500257907
22,274.8,10117.9,557.6999999999999,557.6999999999999,230.0,230.0,6.174539124118671,4.141661004642685,17.49501747325142,4.141771557435863,17.49481730044952,4.141771557435863,17.49481730044952,0.7014575429842594
23,20.4,10112.9,571.1,571.1,258.5,258.5,6.213325299458025,4.141661004642685,17.49501747325142,4.141771557435863,17.49481730044952,4.141771557435863,17.49481730044952,0.7047349480541781
24,105.5,10379.9,296.79999999999995,296.79999999999995,48.8,48.8,5.93391559366526,4.141661004642685,17.49501747325142,4.141771557435863,17.49481730044952,4.141771557435863,17.49481730044952,0.677848893570423
