,Capacity
0,1.8046847720100736
1,1.8047833214525881
2,1.797618668222458
3,1.7929913687761174
4,1.7919180081592216
5,1.775026135903797
6,1.7920487852223415
7,1.790475801581265
8,1.7868365091987264
9,1.7871529619962185
10,1.7816340617009505
11,1.7850235136604733
12,1.7803865429693038
13,1.7789060856417256
14,1.7738387518973049
15,1.769682881523146
16,1.7408787283206992
17,1.7648189744011906
18,1.7617857390844023
19,1.75770610357021
20,1.7519375960601256
21,1.7521244035832177
22,1.7597714133989641
23,1.7483011320324189
24,1.7411482627836237
25,1.7363833316311177
26,1.736559066269527
27,1.7172335652295245
