,CCCT,CVCT,V37_419,V38_419,V37_41,V38_41,Temperature
0,808.0,9763.8,770.1,770.1,212.1,212.1,25.847637118595284
1,565.4,10239.0,534.7,534.7,102.6,102.6,25.880479607251246
2,565.9,10238.4,533.0,533.0,96.6,96.6,25.888757514345055
3,559.1,10245.1,525.0,525.0,95.3,95.3,25.87151174518116
4,529.3,10273.8,498.0,498.0,84.1,84.1,25.832301898343715
5,444.4,10361.3,410.3,410.3,46.4,46.4,25.733099727742342
6,529.8,10274.9,494.0,494.0,80.0,80.0,25.733356682666184
7,560.5,10243.1,526.4,526.4,99.6,99.6,25.863930247109877
8,529.9,10274.1,498.0,498.0,87.0,87.0,25.86962789978266
9,490.8,10315.1,458.9,458.9,70.3,70.3,25.848141578478423
10,512.4,10290.8,478.7,478.7,80.7,80.7,25.862058005780032
11,402.4,10395.6,370.3,370.3,39.4,39.4,25.738891330617058
12,2750.4,6678.9,2589.6,2509.2,1967.9,1887.5000000000002,45.42572260466843
13,2774.9,6576.9,2588.2,2507.1,1969.7,1888.6,45.513445804115676
14,2774.7,6900.2,2588.2999999999997,2507.1,1970.9,1889.7000000000003,45.48056264369703
15,2771.6,6625.2,2586.2,2505.2,1969.3000000000002,1888.3000000000002,45.47565952325479
16,2777.2,6669.0,2587.0,2505.9,1970.7,1889.6,45.48235596268505
17,2762.5,5426.7,3832.7,3751.7999999999997,1971.4,1890.5000000000002,45.47727743923944
18,2772.0,6634.4,2598.9,2517.6000000000004,1980.1999999999998,1898.8999999999999,45.49864714863976
19,2777.1,6584.299999999999,2589.3,2508.1000000000004,1974.1,1892.8999999999999,45.501084328037194
20,2774.1,6617.599999999999,2585.4,2504.5,1970.5,1889.6000000000001,45.468228007767074
21,2771.4,6653.0,2581.9,2501.3,1966.6999999999998,1886.1,45.44682364450976
22,2768.8,6610.4,2579.5,2499.0,1964.8,1884.3,45.44740100073103
23,2756.8,6704.7,2581.6,2501.2999999999997,1964.1,1883.8,45.411274411481344
24,2766.5,6639.4,2577.4,2497.0,1963.3000000000002,1882.9,45.46973632274594
25,2761.6,6630.599999999999,2573.2,2493.1,1959.0,1878.9,45.46710071585051
26,2755.3,6674.599999999999,2569.6,2489.7,1955.5,1875.6,45.45470440699787
27,2752.1,6717.099999999999,2565.4,2485.8,1951.8000000000002,1872.2000000000003,45.441195416046796
28,2741.9,6775.4,2567.6,2488.2,1951.1,1871.6999999999998,45.40069771096212
29,2751.6,7217.4,2563.2000000000003,2483.7000000000003,1949.3999999999999,1869.8999999999999,45.458393925611645
30,2742.0,6847.0,2558.3,2479.1000000000004,1945.5,1866.3,45.45254633792311
31,2742.0,6774.0,2555.6,2476.6,1943.1,1864.1,45.449385749863204
32,2738.6,6798.599999999999,2552.8,2473.9,1940.1,1861.1999999999998,45.489462422118734
33,2723.1,6958.9,2553.7,2475.0,1938.3000000000002,1859.6000000000001,45.48439470911848
34,2733.9,6829.799999999999,2549.2999999999997,2470.5,1936.9,1858.1000000000001,45.49854527399584
35,2734.0,6810.5,2545.6,2467.0,1933.0,1854.4,45.49365786032188
36,2727.7,6896.099999999999,2541.7000000000003,2463.3,1930.1000000000001,1851.7000000000003,45.475300611635916
37,2725.6,7154.599999999999,2538.5,2460.3999999999996,1926.3,1848.2,45.494686837886576
38,2713.0,7099.5,2540.2,2462.2,1924.8999999999999,1846.8999999999999,45.46013930931233
39,2615.2,6745.099999999999,2528.1,2456.8999999999996,1910.8000000000002,1839.6000000000001,45.46345997861025
40,2605.4,6733.599999999999,2493.9,2423.0,1881.1999999999998,1810.3,45.63413602456737
41,2576.7,6765.2,2477.0,2408.8,1865.2,1797.0,45.620961122322925
42,2552.7,6774.9,2462.5,2396.8,1850.9,1785.2,45.613873918822634
43,2547.1,6841.599999999999,2454.6,2389.2000000000003,1843.5,1778.1,45.614525333246704
44,2520.5,6956.299999999999,2453.8,2409.5,1838.3999999999999,1794.1,45.4358083882308
45,37.2,8692.5,29.6,29.6,16.4,16.4,45.271922574944206
46,125.2,3015.4,102.0,102.0,24.3,24.3,45.68429346333393
