,Capacity
0,0.6734628137095633
1,0.7913062105760345
2,0.7865824034601745
3,0.7795871426061582
4,0.7628241523125163
5,0.7405021514606399
6,0.7783970881100656
7,0.7733165409025605
8,0.7589575236409498
9,0.7407399462256391
10,0.7446218752617147
11,0.7149875629820736
12,1.7075144448533202
13,1.730880859428193
14,1.7328212845233328
15,1.7317734323431513
16,1.7341296392350067
17,1.7334756929990074
18,1.7243057179457875
19,1.7318975861687205
20,1.7333691208377457
21,1.732175650153278
22,1.7334832776102866
23,1.732372495746513
24,1.7338175297202416
25,1.7329630786357868
26,1.7318839084573339
27,1.7306960059812662
28,1.7296011601947467
29,1.7296187381064656
30,1.7307198617163877
31,1.729274556175907
32,1.7297962212599596
33,1.7268942069037494
34,1.7272191689306016
35,1.7285674981160106
36,1.726636381605547
37,1.7262424141835067
38,1.7252725927602899
39,1.6668026877455053
40,1.666754853762041
41,1.6583274448761054
42,1.65032263550715
43,1.6493406341242296
44,1.641919055037739
45,0.425812451177779
46,0.5569902643736575
