,Capacity
0,1.7048641073512139
1,1.8940319526948572
2,1.8747686491853095
3,1.8654947184112376
4,1.8527398169018068
5,1.844174397003866
6,1.8430238477512753
7,1.8302818174911863
8,1.8173838456081814
9,1.8057992981104682
10,1.8149829605049186
11,1.7995150369321797
12,1.7866516942518147
13,1.7735550719416031
14,1.769995333364443
15,1.799526080374287
16,1.7968530684449833
17,1.7838265504081745
18,1.7696444491040102
19,1.7512940457049684
20,1.7697554297961993
21,1.7547726933914918
22,1.7389166355812984
23,1.7337200518764075
24,1.7150972597500092
25,1.7462926148815636
26,1.719149261914565
27,1.711582246191498
28,1.6951051195225901
29,1.7005124371100973
30,1.7080989351250158
31,1.691435430587127
32,1.6844494328889932
33,1.664037581688075
34,1.6686372014231974
35,1.6899344075625968
36,1.669431712846442
37,1.6634226761839213
38,1.6436152195947373
39,1.6358000873538245
