,CCCT,CVCT,V37_419,V38_419,V37_41,V38_41,Temperature
0,3495.3,6371.0,3346.8,3222.9,2740.3,2616.4,45.09332295910928
1,3423.7,6312.599999999999,3289.7,3169.2,2695.2999999999997,2574.7999999999997,45.305654102608436
2,3375.6,6339.4,3253.1,3134.7,2664.2000000000003,2545.8,45.32502514009919
3,3353.5,6288.5,3232.5,3115.1,2647.7999999999997,2530.3999999999996,45.3444384896063
4,3336.9,6441.599999999999,3276.7000000000003,3237.0,2669.0,2629.2999999999997,44.72116540432172
5,3335.8,6153.599999999999,3237.7000000000003,3125.5,2650.5,2538.2999999999997,45.36661012607671
6,3300.1,6173.299999999999,3197.2999999999997,3086.0,2614.2999999999997,2503.0,45.37716338098021
7,3269.3,6177.099999999999,3168.0,3058.1,2590.7000000000003,2480.8,45.378949666013796
8,3237.2,6183.099999999999,3143.7,3036.6,2567.7,2460.6,45.381661463020585
9,3222.2,6401.2,3171.5,3145.5,2577.8,2551.8,44.741963711241645
10,3246.2,6042.4,3164.2999999999997,3058.9,2585.8999999999996,2480.5,45.39714673501506
11,3195.6,6063.9,3115.8,3013.8,2546.7,2444.7,45.38548423560667
12,3165.5,6089.099999999999,3084.7000000000003,2982.9,2519.4,2417.6,45.384351926322864
13,3129.4,6173.299999999999,3057.5,2960.7,2493.6,2396.7999999999997,45.40427025281304
14,3126.8,6325.7,3079.8,3052.5,2498.3,2471.0,44.76824437312004
15,3241.4,5980.0,3153.7999999999997,3048.7999999999997,2581.1,2476.1,45.420023428162914
16,3191.7,6063.599999999999,3108.1,3005.3,2541.1,2438.3,45.395112846336765
17,3159.2,6115.9,3078.8,2978.0,2514.5,2413.7,45.42111461591665
18,3123.8,6187.4,3044.0,2946.8,2482.8999999999996,2385.7,45.42740175266363
19,3089.0,6270.599999999999,3036.5,3009.5,2457.4,2430.4,44.77235822737192
20,3132.3,6045.9,3060.5,2966.7000000000003,2495.2,2401.4,45.44121869740602
21,3086.0,6110.299999999999,3013.8999999999996,2924.1,2456.2,2366.4,45.45701909779596
22,3041.2,6180.099999999999,2975.3,2890.0,2420.5,2335.2,45.45478198629672
23,3027.7,6185.599999999999,2959.4,2875.1,2405.6000000000004,2321.3,45.454573095061825
24,2991.8,6306.599999999999,2940.6,2914.2,2367.5,2341.1,44.80195940335337
25,3074.3,6133.2,3007.7000000000003,2921.7000000000003,2447.6,2361.6,45.43783097493817
26,2996.4,6104.599999999999,2927.6,2858.3,2372.7999999999997,2303.5,45.42563310496795
27,2974.0,6181.799999999999,2907.2999999999997,2835.7,2357.1,2285.5,45.40238293915166
28,2932.2,6220.799999999999,2867.2,2799.2,2318.2999999999997,2250.2999999999997,45.41299032224968
29,2951.3,6353.2,2895.5,2869.1,2328.0,2301.6,44.756808269112064
30,2967.2,6148.2,2900.3,2825.3,2352.8,2277.8,45.426863607474424
31,2917.1,6226.2,2856.5,2790.6,2311.4,2245.5,45.39896576010375
32,2900.2,6217.299999999999,2837.0,2771.4,2292.0,2226.4,45.41222198091578
33,2853.9,6203.2,2791.0,2733.8,2249.6,2192.4,45.421163395677446
34,2864.6,6510.9,2810.7,2784.7999999999997,2248.0,2222.1,44.77974280069445
35,2923.5,6178.599999999999,2855.8,2788.1000000000004,2309.1,2241.4,45.43249146044236
36,2859.0,6225.0,2799.2000000000003,2739.9,2256.1,2196.7999999999997,45.40225231920624
37,2845.3,6261.299999999999,2783.0,2720.2,2241.8,2179.0,45.43633871670618
38,2798.0,6216.2,2739.0,2687.9,2198.8,2147.7000000000003,45.431506683537506
39,2775.6,6498.0,2725.4,2700.4,2166.3,2141.3,44.79301916889542
