,Capacity
0,1.6560706096175404
1,1.7815548749509116
2,1.761969227822918
3,1.751755031874225
4,1.7381688070362076
5,1.7506745293461339
6,1.7491047649061158
7,1.7252544028765475
8,1.7112621367644252
9,1.6990418392711273
10,1.7185770039532977
11,1.70324722921867
12,1.689458044662304
13,1.6756136292719177
14,1.6718407140871654
15,1.7233056681204446
16,1.709207290507283
17,1.684001734344571
18,1.66898698813004
19,1.6620689362837142
20,1.6687049625248174
21,1.652762183550463
22,1.648481366235244
23,1.6307406443132095
24,1.62323023017929
25,1.6541906540394393
26,1.638514396616985
27,1.618847673357618
28,1.6134212267751404
29,1.6066443601761986
30,1.6138387876938998
31,1.596329501327274
32,1.5890785867406987
33,1.5805481432309574
34,1.5846131054270807
35,1.5936651221220735
36,1.5849874126960888
37,1.5787064969416462
38,1.570705516096967
39,1.562780404428482
