,Capacity
0,1.6666751942525773
1,1.8328583629543174
2,1.8139835002945137
3,1.8044387333514835
4,1.802147684291295
5,1.7715647509798835
6,1.8139928165779542
7,1.8013261041198854
8,1.7883722583933568
9,1.7765401657373159
10,1.7856209131823229
11,1.7813634036685941
12,1.7684898383971241
13,1.766505238291406
14,1.751740527921767
15,1.7352349314055016
16,1.7782778274549178
17,1.7649894859707393
18,1.762591283533551
19,1.744314576121582
20,1.7628373753518478
21,1.747857930947971
22,1.7441167338864993
23,1.7268422932817387
24,1.7203093493042265
25,1.7394245516699778
26,1.7367384416372014
27,1.716963468448543
28,1.7127773558366357
29,1.7061083466554066
30,1.713732696207521
31,1.7093475797926974
32,1.6901000454115587
33,1.6946883343387664
34,1.687010991299212
35,1.6957069027070075
36,1.687696889615565
37,1.6819617127259294
38,1.6750033888978846
39,1.6672987794846676
