,Capacity
0,0.06842572240601812
1,0.6895699007862814
2,1.1610848192311252
3,1.2529393053824995
4,1.302918002447558
5,1.3218773211472525
6,1.2884694418301417
7,1.713169326386719
8,1.6560966776720512
9,1.6197297341990775
10,1.604655812282729
11,1.6255699769029337
12,1.5900967306245992
13,1.5739402299623984
14,1.5711303351557309
15,1.5897706153457416
16,1.6257378771074
17,1.6523506333962537
18,1.6143816761595386
19,1.58697453394504
20,1.5818355572787333
21,1.6919769406371152
22,1.6879483800354476
23,1.6586223007531458
24,1.6420179032789863
25,1.6381810791118743
26,1.6422892507912386
27,1.651270876264092
28,1.6326559297917211
29,1.6260888111680731
30,1.6079292963823688
31,1.6125361114907395
32,1.6218384168987892
33,1.6145443029101134
34,1.5953958917107596
35,1.5877243027113057
36,1.5811840578305605
37,1.6128422608267754
38,1.61998606328022
39,1.6099381853611876
40,1.5770977539565159
41,1.5708599066554392
42,1.6261581345348248
43,1.6348129972245726
44,1.6117053637342613
45,1.8851401699720662
46,1.6584957887780232
47,1.62418934644937
48,1.6041720988563641
49,1.6080016740907346
50,1.6256752138435595
51,1.617632765910718
52,1.5973191489094263
53,1.5875852250170606
54,1.5802530015403684
55,1.583036530487776
56,1.6027138832797037
57,1.5930709154513834
58,1.5448888685020246
59,1.5352188565640517
60,1.5252677314227332
61,1.5559492005453626
62,1.5648029438427147
63,1.5518620461881205
64,1.5144550545105004
65,1.5051936202146428
66,1.605823969917045
67,1.6249005195877049
68,1.589785130036615
69,1.5552386152299904
70,1.539756404636803
71,1.5293174002138357
72,1.547680553576876
73,1.5659920939439786
74,1.5416252851780505
75,1.517590655990168
76,1.5075202042593092
77,1.49549282626034
78,1.4997618811573148
79,1.4906966807803954
80,1.4800999425051866
81,1.4676091496100632
82,1.4729818491920503
83,1.4742872137206404
84,1.4635162808346138
85,1.4527095680488362
86,1.4557303847230247
87,1.459740099618568
88,1.448711504158192
89,1.4666759762884336
90,1.4689502109504418
91,1.471116588522042
92,1.4473012364654927
93,1.4205315547561643
94,1.4241466094817417
95,1.4412820083364295
96,1.4448965388921615
97,1.4540256354795746
98,1.4226030447542912
99,1.410196954589097
100,1.4144881298999457
101,1.431360032946153
102,1.4515133236517528
103,1.4230376757726733
104,1.396298696255913
105,1.3979060730399124
106,1.4011347560096767
107,1.436782528945267
108,1.4370006879546382
109,1.410355528453481
110,1.382633397996189
111,1.3699403583067564
112,1.3786129327882322
113,1.8035959863147193
114,1.4234424290662009
115,1.3946003892958663
116,1.3961613987822286
117,1.384968608315797
118,1.3715114742475478
119,1.3616865084879255
120,1.3796301360966086
121,1.364231776003204
122,1.3418414512081456
123,1.3552215695792247
124,1.3403860264029774
125,1.3594078914195438
126,1.3457100861355502
127,1.3477611420854358
128,1.335482103134067
129,1.353154941842234
130,1.3709677706044292
131,1.357426672491866
132,1.3443678821106904
133,1.33005823859453
134,1.4033641858066626
135,1.3865570950229378
136,1.3704138176872631
137,1.325319393635713
138,0.8439684993200656
139,0.29866180371583506
140,0.2344867974702557
141,0.20256330380725823
142,0.23531995654070248
143,0.23550427837482876
144,0.4304242256752923
145,0.46436333202696434
146,0.3994839380247729
147,1.461469789426299
148,1.4150999545382532
149,1.383632373873956
150,1.3705402893609833
151,1.3557042566115398
152,1.3578385793919763
153,1.3609083979571395
154,1.3495626547684758
155,1.1888877132486642
156,1.5041493934608645
157,1.4899088638712767
158,1.475330178643193
159,1.459830765413703
160,1.4474169057725728
161,1.4676323674647154
162,1.441552493165527
163,1.418392873584403
164,1.4031824838852518
165,1.3911104661211642
166,1.4086019958134537
167,1.4137708903948947
168,1.412472234540845
169,1.3831900026575588
170,1.3646098107432565
171,1.369751365782437
172,1.3867946911071662
173,1.3918615875742792
174,1.377162352180965
175,1.3599525359390852
176,1.379779043170725
177,1.3631373661966442
178,1.3652295228794809
179,1.3498620694059131
180,1.3529504172332432
181,1.3535740542605128
182,1.3432225183905024
183,1.3412081769053426
184,1.3277389969987805
185,1.329778900445409
186,1.3356045028702495
187,1.3177489685711123
188,1.317605472474197
189,1.3185279522072382
190,1.3215397269813982
191,1.3046615372928705
192,1.3280324770208678
193,1.3634549770713926
194,1.3291316747402466
195,1.3124201086917682
196,1.3152825503676357
