,Capacity
0,0.8980573709676724
1,1.1026236331914077
2,1.0885801879473431
3,1.0613249847591086
4,1.0347062057983545
5,1.0269978594353013
6,1.0785019710989419
7,1.0638897478802845
8,1.0366551223324423
9,1.030941327482094
10,1.0140084541034655
11,1.008516095994519
12,1.7419245088095903
13,1.779741859708433
14,1.7815666306452766
15,1.7834859577156017
16,1.7864411650415675
17,1.7859997608067948
18,1.7769523773001608
19,1.781428917321899
20,1.7859452772697197
21,1.785208429691551
22,1.783596609584544
23,1.7796783152744713
24,1.7841102592788645
25,1.7833032331592193
26,1.7796186141356956
27,1.7816592334352586
28,1.7775911304124035
29,1.777701881971679
30,1.7789547618270618
31,1.7807753731135043
32,1.778415319026661
33,1.7789773899108463
34,1.7792479347236045
35,1.7779204573685081
36,1.779227040224144
37,1.7760634320079352
38,1.775103937963957
39,1.733064100138742
40,1.7394892806215223
41,1.7378064360392924
42,1.730028145799833
43,1.7290404566542985
44,1.7286072907068815
45,1.52573884649634
46,1.5301475534434217
