,Capacity
0,0.11903831859341765
1,0.4729861500927512
2,0.16280793829202067
3,0.4787632853388766
4,0.4711383364607152
5,0.4668172561120673
6,0.4699932676625547
7,0.4627052684317185
8,0.46049447826560974
9,0.4412227248835694
10,0.44354421943965844
11,0.4126655541164234
12,1.7461791006389626
13,1.7695250734505363
14,1.7715391419501945
15,1.770625483958279
16,1.7704040639447296
17,1.7695081788801759
18,1.7638356274269416
19,1.7715725869786123
20,1.7701196454489683
21,1.7667569752860521
22,1.7648743629092642
23,1.763838685943225
24,1.7657225752056789
25,1.7645632809383045
26,1.7608991948479125
27,1.7598362095817717
28,1.7590955400143164
29,1.7560495443976523
30,1.7571677199949287
31,1.7558911269459976
32,1.7533419072229914
33,1.7506673845335168
34,1.7510006664162403
35,1.7496058853847873
36,1.7477359172183355
37,1.7444225468099093
38,1.743308366083936
39,1.6556691733888471
40,1.64297669457593
41,1.6343822729361266
42,1.6265067062165601
43,1.618865991735961
44,1.6114968339209264
45,1.3240805773461226
46,1.3153386221697692
