,Capacity
0,1.686525555152074
1,1.6624606531639186
2,1.6534010755700512
3,1.6452145903490936
4,1.635664062367341
5,0
6,1.6267769765146463
7,1.6159715504743064
8,1.6076028386649623
9,1.6003360401431612
10,1.5978700914991917
11,1.5900310265163515
12,1.5816311155652092
13,1.5714556311034702
14,1.563220798569978
15,1.5606775388245586
16,1.5523886011314287
17,1.5444592876561967
18,1.536558134180655
19,1.5307255867941072
20,1.545242808242328
21,1.5397144491816253
22,1.5305357077773765
23,1.5199735224097084
24,1.5136629526844203
25,1.5012870006992953
26,1.5023814734911674
27,1.4980955154277502
28,1.4906542391377111
29,1.4843971639436213
30,1.4725321936230114
31,1.4663149382113208
32,1.4671298468877776
33,1.4593858997633138
34,1.4467901368505207
35,1.4390669859638228
36,1.4389892550462602
37,1.4386198779578576
38,1.4313412096653504
39,1.422973037663468
40,1.4150153099745097
41,0.0572172710622218
42,0.0573587470253984
43,0.05749687545445231
44,0.05763088809888528
45,0.055116913339787174
46,0.06740755265748018
47,0.0675676530317139
48,0.055637310449156464
49,0.06822433276106823
50,0.056052453431514465
51,0.06868220130105056
52,0.06874755353346529
53,0.05651439891347486
54,0.05673307185387369
55,0.0694133756360175
56,0.05931766444664955
57,0.06981707253622738
58,0.05746435089694075
59,0.07053774383993697
60,0.05805466052344494
61,0.07083992015291063
62,0.058171836130525824
63,0.05830515712798288
64,0.05845592669367763
65,0.05862986110638707
66,0.05890033218383382
67,0.05906467702011044
68,0.07240579982844073
69,0.07255632846891659
70,0.05959222988909599
71,0.07321709022768585
72,0.05984100849986973
73,0.07344347056971572
74,0.07373739605923264
75,0.06032312489727431
76,0.07409611978234346
77,0.060717150532954955
78,0.06082844229397962
79,0.060928844447982224
80,0.061220387365620216
81,0.06133677582691605
82,0.0615021959933087
83,0.0615436456229027
84,0.061368282981907545
85,0.061633508888739995
86,0.061981030875948785
87,1.4779954511171076
88,1.494119871447679
89,1.488007820113173
90,1.4748338592717107
91,1.4604378044785566
92,1.452380841576719
93,1.4411028883649861
94,1.4300355978410688
95,1.413943296719903
96,1.3972667497450317
97,1.3865375876825874
98,1.3724753685724698
99,1.3598593948812812
100,1.3486733410392264
101,1.3334258933205057
102,1.3387793081075827
103,1.3153320403016995
104,1.322963328110081
105,1.3086991524155074
106,1.2897499583900436
107,1.2906172590904164
108,1.2752011253442166
109,1.2686072657374579
110,1.2565759973225976
111,1.2486254509320867
