,Capacity
0,1.847011162956716
1,1.8485654344528386
2,1.847111177186175
3,1.8489837601535537
4,1.8370120718560439
5,1.817549211247137
6,1.839863822522073
7,1.8430595619731431
8,1.8401871729536057
9,1.8281265632888257
10,1.8253563336445804
11,1.8214180552626154
12,1.830315627968932
13,1.8175491643824844
14,1.810901200296979
15,1.8083032603084233
16,1.7928016149381065
17,1.812563150045885
18,1.807772607491239
19,1.8048055175003972
20,1.800538555899242
21,1.7942356098033032
22,1.807409052434889
23,1.7902504816962075
24,1.7961223845359495
25,1.7912236690350776
26,1.7854822365303245
27,1.7677890780323617
