,Capacity
0,0.8583727215167135
1,1.4209057149417375
2,1.372852133389263
3,1.3643742487429145
4,2.378643730568756
5,1.0605357965671216
6,1.0069932376659496
7,0.9298775334359536
8,0.9232377029483808
9,0.9053279121173716
10,0.8595848360639872
11,0.8369614294820705
12,0.8456824187653132
13,0.8071214007577537
14,0.7820744360746734
15,0.7953019444133349
16,0
17,0.7752051154719997
18,0.7711865903845158
19,0.7585098914517947
20,0.7349386490499009
21,0.7366758033690756
22,0.7093946599203638
23,0.7186465009220309
24,0.6913885231046639
