,Capacity
0,1.7282392323598248
1,1.5161488467923143
2,1.503121190703977
3,1.48586566102824
4,1.4694562316392716
5,1.4589554592644807
6,1.4556853555098295
7,1.456232262380321
8,1.4440592236675138
9,1.428294264765868
10,1.4199848948034668
11,1.4043226018516568
12,1.4234351301615986
13,1.4339948857967295
14,1.4185177047756572
15,1.4056313337829422
16,1.3890214025155618
17,1.3723339082737365
18,1.3615778905990565
19,0
20,1.4100282016237429
21,1.3395671374926488
22,1.3291515487117478
23,1.3181687033905718
24,1.312423708466101
25,1.2993237532162487
26,1.2877483042174591
27,1.2865282739749122
28,1.2719636386987183
29,1.2714495345417192
30,1.2615423884659074
31,1.2421201619204132
32,1.2402537441669796
33,1.2851130012242886
34,1.3043327841699193
35,1.2778639041619957
36,1.2723464591651539
37,1.2477883952768762
38,1.2352499196655526
39,1.229251291851949
40,1.223890910501634
41,1.205423323571373
42,1.1957824090008151
43,1.1900729496698461
44,1.179201763233652
45,1.169504032514554
46,1.16772376849918
47,1.1579256145829042
48,1.1499812813376982
49,1.150285902223034
50,1.1349452274085248
51,1.1380960963513609
52,1.123711172150547
53,0
54,1.214119211354098
55,1.211944797522819
56,1.1971248679331923
57,1.1822892151870987
58,1.1645336676778397
59,1.1535559567518647
60,1.1601987101282065
61,1.1711716308206082
62,1.1563410270783216
63,1.141082456193516
64,1.1352383596118123
65,0
66,1.2530847858282803
67,1.2050453590356518
68,1.19119860196273
69,1.17463817374538
70,1.1555432048235512
71,1.1538041170229467
