,Capacity
0,1.8132504303869899
1,1.8149760087078302
2,1.8135354175561993
3,1.815149273310334
4,1.8142913014068198
5,1.3863373424430125
6,1.8165277958816064
7,1.8085638576011063
8,1.804936077644182
9,1.8049315924982108
10,1.717679232699393
11,1.809804813280106
12,1.806556213274488
13,1.7938155707698507
14,1.799304949381792
15,1.7842197448470132
16,1.6818819918515189
17,1.8007519383961936
18,1.795972684272296
19,1.7931026940553298
20,1.8010267542068712
21,1.7824572301269948
22,1.7959303030608789
23,1.7783142127341003
24,1.771719092984802
25,1.7790749489536772
26,1.7733229782464675
27,1.768754111010884
