,Capacity
0,1.6743047446975208
1,1.5243662105099023
2,1.5080762969973425
3,1.4835577960067696
4,1.4671391666146525
5,1.448858156982267
6,1.4458534180949325
7,1.431118266178283
8,1.4192745516578533
9,1.3999974221808271
10,1.3885156686114437
11,1.3652234669528964
12,1.4060442272970963
13,1.4057541613525781
14,1.3867662881727878
15,1.3705053061420223
16,1.3497431114823601
17,1.3251533367939783
18,1.3111943869635805
19,0
20,1.3394234405932892
21,1.2849157142560723
22,1.281719159327807
23,1.2600051642942829
24,1.266070385993126
25,1.2413590294280803
26,1.2298873703485311
27,1.228088614506696
28,1.2139857189070042
29,1.2173435064564189
30,1.2073445944515917
31,1.18804049227045
32,1.186304749886542
33,1.2613935471028506
34,1.2648246158850653
35,1.2466494548982199
36,1.2333924152795082
37,1.2129250072037692
38,1.1999106597943647
39,1.1902559038393383
40,1.1892563795455853
41,1.167069685125939
42,1.1615348403090369
43,1.1555563844349988
44,1.1488524666097713
45,1.143572986788779
46,1.1418015379428537
47,1.136058647502255
48,1.1236364680969286
49,1.1320498900328944
50,1.1170101762158153
51,1.120043039721982
52,1.1059773445917063
53,0
54,1.1907902374762016
55,1.2012387088454022
56,1.1906909549024802
57,1.1764375730308343
58,1.1628110372792353
59,1.1516152840582585
60,1.1583673498348623
61,1.1692285288386206
62,1.1588148476218465
63,1.1439588147705457
64,1.1383941068159398
65,0
66,1.2213102850395667
67,1.2031062978889062
68,1.1897147112197684
69,1.177422568842014
70,1.158443027293818
71,1.1567087516841796
