,CCCT,CVCT,V37_419,V38_419,V37_41,V38_41,Temperature,peak_v_arr1,peak_IC_arr1,peak_v_arr2,peak_IC_arr2,peak_v_arr3,peak_IC_arr3
0,3286.0,7107.2,3055.6,2958.5,2443.0,2345.9,26.63562262811608,3.857197862179838,22.957997409808137,3.9668262890700388,50.532829839983606,3.9963188203208397,52.85772423949129
1,3279.1,7083.799999999999,3061.5,2962.6,2461.2,2362.2999999999997,26.778175507896698,3.8525903045867054,22.84073033490381,3.9563971253655663,50.44344009968336,3.9940589013298475,52.34610038698702
2,3263.2,7019.299999999999,3056.2000000000003,2957.4,2463.8,2365.0,26.70320405781683,3.8506631952064216,22.58273641410345,3.953248564810494,50.7557239561184,3.9911551409208696,51.8756127371206
3,3260.7,7106.0,3055.7,2955.9,2467.7,2367.9,26.617004288392003,3.8493979523498507,22.42895081277743,3.9532509543881025,50.52657449737126,3.993181921966909,51.44587760981085
4,3264.2,7377.799999999999,3054.1,2953.6,2470.7999999999997,2370.2999999999997,26.51849450408942,3.8482843343642554,22.29395548574621,3.9515212300402838,50.7382510435109,3.991519599235563,51.25600427686004
5,3268.5,7420.2,3057.4,2956.4,2477.0,2376.0,26.620706323978894,3.8485029175896197,22.327896529031932,3.9501118452803428,50.73144883204441,3.990215476812141,51.31117989138511
6,3277.4,6722.599999999999,3059.5,2957.7,2482.3,2380.5,26.737918888901717,3.847399275177908,22.229378664652245,3.9488284298767153,50.94150629292845,3.9898245238362775,51.03181677192711
7,3247.9,6787.099999999999,3050.1000000000004,2948.7000000000003,2477.4,2376.0,26.741457030661458,3.9495786145993215,50.73250362138606,3.9931468227062594,50.71664416240492,3.9931468227062594,50.71664416240492
8,3242.4,6790.4,3046.0,2944.0,2473.9,2371.9,26.7021703105932,3.8461820539337768,22.123728292773876,3.947536432732173,50.90626342878568,3.9893007080793743,50.6473266038156
9,3243.6,6761.099999999999,3042.7000000000003,2940.5,2471.2000000000003,2369.0,26.608132946993933,3.8566784141162285,21.890545448985456,3.9477673379065163,50.73653864869541,3.990261076620083,50.573168759298035
10,3255.3,6663.299999999999,3041.2000000000003,2938.5,2472.0,2369.2999999999997,26.63314786563377,3.847179427292577,21.878406559009818,3.949191844244484,50.35424746127728,3.994528224749124,50.403570204387506
11,3230.1,6607.299999999999,3028.5,2926.6,2465.8,2363.9,26.870618187745677,3.8452065793431283,21.897373914544005,3.946186570019055,50.87564866545147,3.989801329616295,50.09926010411464
12,3227.1,7424.5,3027.0,2924.5,2463.3,2360.8,26.738987031481408,3.8451474806868973,21.796829050298243,3.9460989673411855,50.45139803647979,3.9894209954067814,49.995334720642354
13,3224.9,6598.0,3023.0,2920.5,2459.3,2356.8,26.69219022781365,3.8448077406123784,21.722562384534285,3.946124675004184,50.67492683910121,3.9887261498101814,50.105507588922265
14,3200.2,6699.299999999999,3011.3,2910.8,2448.1,2347.6,26.563313470921166,3.8510788348383564,21.679141198422087,3.948131320957369,49.854944448120705,3.9939344375340524,49.63472449675464
15,3188.2,6626.4,3004.6,2903.9,2443.7999999999997,2343.1,26.52595276450022,3.852286149861916,21.506294629762863,3.9481936750655406,49.766891259201486,3.9941630311868206,49.660790970265225
16,3198.9,6700.4,3001.8,2900.5,2441.4,2340.1,26.591676949772925,3.8451175855854216,21.442026499791154,3.948058515702027,49.3820546436637,3.994665765467854,49.41007320038759
17,3200.6,6866.599999999999,2999.5,2897.3999999999996,2439.3,2337.2,26.645032205307864,3.8446452285639388,21.37554238556163,3.946596835544774,49.98873165722077,3.9907103665055463,49.45573275917033
18,3161.9,7001.0,3047.4,3006.8,2430.7999999999997,2390.2,25.663244609650953,3.867851575803074,25.018059452781003,3.96307633938755,56.496417996740654,4.002682144756315,54.79354247665464
19,3331.8,6853.5,3139.7,3044.8999999999996,2546.2,2451.3999999999996,26.015018000119397,3.8547565501803516,23.788071779954922,3.9510817569985757,55.639072681351536,3.99298711065008,55.18107264082573
20,3336.5,6852.7,3137.4,3041.5,2547.2,2451.2999999999997,26.09181445728815,3.853689345256916,23.485016676813075,3.9494342344201545,55.55506600177727,3.9919838769374225,54.69221257452636
21,3301.1,6681.4,3118.5,3025.5,2528.5,2435.5,25.709030057450274,3.8547966294108895,23.53515578679928,3.9500516293844297,55.345310074793645,3.992333705582166,54.40218817770876
22,3273.3,7427.599999999999,3101.9,3011.2,2512.9,2422.2,25.473631563964574,3.8548166809098965,23.48793574081741,3.95090311756767,54.86995605919584,3.993279992134039,54.17243403741846
23,3261.9,6730.4,3094.1000000000004,3003.4,2506.4,2415.7,25.427401199812184,3.855136518703988,23.280409289816365,3.9516115128402656,55.0402520606217,3.9944155063859674,54.14026472343539
24,3262.7,6717.4,3088.6,2997.6,2501.4,2410.4,25.37095530984966,3.854981913358545,23.461839915288966,3.951775573794198,54.74861348993769,3.99338392770311,53.895650643652935
