,Capacity
0,0.7989997927037011
1,1.319892156462878
2,1.2769832801132017
3,1.2572591312230865
4,1.206763751299412
5,1.2077322536103197
6,1.2009614290093835
7,1.189059086549973
8,1.169708782604433
9,1.1483647194613424
10,1.1527726060972296
11,1.1318370471727228
12,1.1326525803383347
13,1.1160565716574584
14,1.0984641825068853
15,1.0925694103096681
16,1.109167680712031
17,1.1075035028905713
18,1.106751675424531
19,1.0726694124582825
20,1.0776844021506693
21,1.1981714734535907
22,1.1625381552680927
23,1.1556827465844224
24,1.137444098422356
25,1.1126375352125493
26,1.098656067845981
27,1.0985302758884639
28,1.1029370400968537
29,1.0949644922735318
30,1.0890679714830998
31,1.073323391636053
32,1.095373856745309
33,1.0639517466243125
34,1.085798072407703
35,1.0588748965507557
36,1.0813260035191288
37,1.061601862588323
38,1.0593920670581127
39,1.0742513141424725
40,1.0405614734131499
41,1.0575656535324895
42,1.0983528970914622
43,1.109758993739737
44,1.0793315779206873
45,1.0716159094756148
46,1.0746464211019797
47,1.08643683065179
48,1.1340138347387958
49,1.1176964717951587
50,1.1046468529644289
51,1.089700148407426
52,1.075533547538172
53,1.0609866776144368
54,1.0518218041615568
55,1.0553857898132757
56,1.0533102333691788
57,1.0315365260084348
58,1.0533401053259415
59,1.0317876798810788
60,1.0354207912157296
61,1.0322251791310608
62,1.011543397303472
63,1.0413760568150228
64,1.02174193386881
65,1.0133135547969283
66,1.0299942559626907
67,1.0189349807814327
68,1.0290879520854017
69,1.0567629241900045
70,1.0291668536316647
71,1.0321298444901021
72,1.0409230283951276
73,1.011161098766987
74,1.0337876112911784
75,1.003994224020383
76,1.0334195479955004
77,1.0098936564116459
78,1.0126262447940628
79,0.9948742055727694
80,1.0240799556179332
81,1.0208889510043027
82,1.016100815944114
83,0.9987875345106277
84,1.0158868294923784
85,0.9963437517762594
86,1.0053777381419529
87,1.009132291002791
88,0.9984581240784203
89,1.0892389324114138
90,1.0793936031703524
91,1.032614295314224
92,1.0498572649026638
93,1.0453902697248563
94,1.0001607736713514
95,1.0084094786878157
96,1.003655158082039
97,1.0285269676595319
98,0.9816844358987022
99,1.0127121434171131
100,1.0201379996149256
101,0.9907591663373165
