,Capacity
0,1.0691417886194299
1,1.1540727934432229
2,1.1501525413826983
3,1.1305863853936766
4,1.121790272357562
5,1.1135982401443856
6,1.0864654057095062
7,1.0647493568993147
8,1.0809288094959644
9,1.0852752041846463
10,1.0504799933740894
11,1.0853550177054305
12,1.0508395690790722
13,1.060906788333118
14,1.070582461063814
15,1.024036665663697
16,1.0670957253433857
17,1.0279237850447498
18,1.0325426399701008
19,1.055948784653705
20,1.0445313831308718
21,1.035313906812183
22,1.076341053101982
23,1.0352223140423542
24,1.0514287056908256
25,1.060332934638968
26,1.0236966462748538
27,1.0465884668750887
28,1.0031121684812232
29,1.0461578935615607
30,1.0156263513525605
31,1.0250054893129452
32,0.9801331625592913
33,1.036777776420363
34,1.026830062058722
35,1.0150379662805102
36,0.9904614739486177
37,1.0145765174582757
38,0.9811308944080389
39,1.0041687429386437
40,1.007820487960787
41,0.982454133084564
42,1.1096775355538027
43,1.1136801589914762
44,1.0385009100572404
45,1.0768815902180078
46,1.0721705505837382
47,1.0124588999851116
48,1.0279944857549583
49,1.0304147279049998
50,1.0556163273995052
51,1.0011115418162628
52,1.0466839215498662
53,1.047181656018543
54,1.0102740078425778
55,0
